iter	Passed	Remaining
841	4294	805
842	4299	800
843	4304	795
844	4309	790
845	4315	785
846	4320	780
847	4325	775
848	4330	770
849	4335	765
850	4340	759
851	4345	754
852	4350	749
853	4355	744
854	4359	739
855	4364	734
856	4369	729
857	4374	723
858	4379	718
859	4384	713
860	4389	708
861	4394	703
862	4399	698
863	4403	693
864	4408	688
865	4413	682
866	4419	677
867	4424	672
868	4430	667
869	4435	662
870	4440	657
871	4446	652
872	4452	647
873	4457	642
874	4462	637
875	4467	632
876	4473	627
877	4478	622
878	4483	617
879	4488	612
880	4494	607
881	4499	601
882	4503	596
883	4508	591
884	4513	586
885	4518	581
886	4523	576
887	4527	571
888	4532	565
889	4537	560
890	4542	555
891	4547	550
892	4552	545
893	4557	540
894	4561	535
895	4566	530
896	4571	524
897	4576	519
898	4580	514
899	4585	509
900	4591	504
901	4595	499
902	4600	494
903	4604	488
904	4609	483
905	4614	478
906	4619	473
907	4623	468
908	4628	463
909	4633	458
910	4638	453
911	4643	448
912	4647	442
913	4652	437
914	4657	432
915	4662	427
916	4667	422
917	4672	417
918	4677	412
919	4682	407
920	4687	402
921	4692	396
922	4697	391
923	4702	386
924	4707	381
925	4712	376
926	4717	371
927	4722	366
928	4727	361
929	4732	356
930	4738	351
931	4743	346
932	4748	340
933	4753	335
934	4758	330
935	4763	325
936	4768	320
937	4775	315
938	4780	310
939	4787	305
940	4792	300
941	4797	295
942	4802	290
943	4807	285
944	4812	280
945	4819	275
946	4825	270
947	4831	265
948	4837	259
949	4842	254
950	4847	249
951	4852	244
952	4857	239
953	4863	234
954	4869	229
955	4874	224
956	4879	219
957	4884	214
958	4889	209
959	4894	203
960	4899	198
961	4904	193
962	4908	188
963	4913	183
964	4918	178
965	4923	173
966	4927	168
967	4932	163
968	4937	157
969	4942	152
970	4948	147
971	4953	142
972	4957	137
973	4962	132
974	4968	127
975	4973	122
976	4977	117
977	4982	112
978	4989	107
979	4997	101
980	5003	96
981	5008	91
982	5013	86
983	5019	81
984	5024	76
985	5030	71
986	5034	66
987	5039	61
988	5044	56
989	5048	50
990	5053	45
991	5058	40
992	5063	35
993	5068	30
994	5073	25
995	5078	20
996	5082	15
997	5087	10
998	5092	5
999	5097	0
